last_name,first_name,player_id,year,b_ab,batting_avg,slg_percent,on_base_percent,xba,xslg,xwoba,xobp,xiso,xwobacon,xbacon,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,hard_hit_percent
Caratini,Victor,605170,2020,116,0.241,0.328,0.333,0.216,0.318,0.285,0.311,0.102,0.314,0.295,87.9,6.2,3.5,36.5
Davis,J.D.,605204,2020,190,0.247,0.389,0.371,0.258,0.43,0.359,0.381,0.172,0.414,0.365,90.1,3.3,8.9,45.2
Panik,Joe,605412,2020,120,0.225,0.3,0.34,0.246,0.348,0.322,0.359,0.102,0.331,0.318,87.5,9.3,1.1,33.3
Arcia,Orlando,606115,2020,173,0.26,0.416,0.317,0.281,0.428,0.338,0.339,0.147,0.376,0.346,89,9.6,5.6,38.7
Tapia,Raimel,606132,2020,184,0.321,0.402,0.364,0.244,0.325,0.285,0.305,0.08,0.313,0.308,85.3,1.8,2,30
Hernandez,Teoscar,606192,2020,190,0.289,0.579,0.338,0.296,0.614,0.401,0.346,0.318,0.564,0.44,93.3,15.3,18,53.1
Peraza,Jose,606299,2020,111,0.225,0.342,0.275,0.241,0.36,0.291,0.292,0.12,0.311,0.288,85.4,20,4.3,27.7
Marte,Ketel,606466,2020,181,0.287,0.409,0.323,0.265,0.381,0.306,0.309,0.116,0.319,0.303,89.2,10,3.7,40.5
Nimmo,Brandon,607043,2020,186,0.28,0.484,0.404,0.257,0.43,0.364,0.387,0.173,0.381,0.335,87.2,7.6,7.7,32.9
Turner,Trea,607208,2020,233,0.335,0.588,0.394,0.303,0.515,0.383,0.369,0.212,0.415,0.36,90.5,9.5,9.5,40.7
Pillar,Kevin,607680,2020,208,0.288,0.462,0.336,0.272,0.435,0.328,0.322,0.163,0.379,0.34,87.1,13.4,5.4,36.5
Stallings,Jacob,607732,2020,125,0.248,0.376,0.322,0.205,0.323,0.277,0.292,0.118,0.334,0.304,88.6,12.4,4.5,37.5
Ramirez,Jose,608070,2020,219,0.292,0.607,0.386,0.264,0.507,0.373,0.362,0.243,0.401,0.327,88.7,23.2,10.2,35.6
Bregman,Alex,608324,2020,153,0.242,0.451,0.35,0.249,0.389,0.332,0.358,0.14,0.327,0.299,88.9,17.3,3.9,33.6
Gallo,Joey,608336,2020,193,0.181,0.378,0.301,0.192,0.418,0.317,0.31,0.226,0.432,0.326,91.2,26.8,14,43.9
Kelly,Carson,608348,2020,122,0.221,0.385,0.264,0.222,0.355,0.27,0.264,0.133,0.322,0.291,86.3,16.7,4.3,34.4
Seager,Corey,608369,2020,212,0.307,0.585,0.358,0.331,0.656,0.434,0.381,0.325,0.498,0.398,93.2,11.9,15.8,55.9
Winker,Jesse,608385,2020,149,0.255,0.544,0.388,0.265,0.524,0.397,0.397,0.26,0.476,0.382,92.1,10.5,13.5,49
Mazara,Nomar,608577,2020,136,0.228,0.294,0.295,0.222,0.364,0.291,0.29,0.142,0.371,0.329,91,6.7,7.6,48.9
Mondesi,Adalberto,609275,2020,219,0.256,0.416,0.292,0.215,0.355,0.267,0.255,0.14,0.358,0.316,90.6,13.7,7.3,39.1
Reyes,Franmil,614177,2020,211,0.275,0.45,0.344,0.245,0.442,0.342,0.328,0.197,0.444,0.368,92.4,11.2,12.9,44.9
Lopes,Tim,621005,2020,143,0.238,0.364,0.278,0.235,0.347,0.276,0.275,0.113,0.331,0.308,87.2,6.5,2.8,39.4
Swanson,Dansby,621020,2020,237,0.274,0.464,0.345,0.267,0.474,0.354,0.341,0.206,0.45,0.384,89.1,14.7,11.4,40.7
Newman,Kevin,621028,2020,156,0.224,0.276,0.279,0.253,0.337,0.29,0.31,0.084,0.296,0.292,85.5,8.7,0.7,28.3
Taylor,Chris,621035,2020,185,0.27,0.476,0.364,0.272,0.488,0.371,0.368,0.216,0.458,0.388,88,9.1,11.5,45
Correa,Carlos,621043,2020,201,0.264,0.383,0.326,0.254,0.402,0.315,0.319,0.148,0.373,0.338,88.8,11.3,5.9,42.1
